,PURPOSE_CD,INTERVAL_NO,BID_OFFER_DATE_DT,QUANTITY_NO,AWARDED_QUANTITY_NO,ENERGY_PRICE_NO,MERIT_ORDER_NO,PARTIAL_QTY_ACCEPTED_IN,ZONE_CD,AWARDED_PRICE_NO,OPERATORE
2241481,OFF,12,2017-11-04,0.9,0.9,0.0,345.0,N,NORD,49.67,Bilateralista
2241497,OFF,12,2017-11-04,5.557,5.557,0.0,212.0,N,SARD,49.67,GSE SPA
2241514,OFF,12,2017-11-04,0.247,0.247,0.0,576.0,N,NORD,49.67,Bilateralista
2241548,OFF,12,2017-11-04,2.4,2.4,0.0,346.0,N,CSUD,49.67,Bilateralista
2241572,OFF,12,2017-11-04,5.182,5.182,0.0,487.0,N,SUD,49.67,DUFERCO ENERGIA S.p.A.
2241595,OFF,12,2017-11-04,400.0,400.0,0.0,687.0,N,NORD,49.67,EP PRODUZIONE SPA
2241596,OFF,12,2017-11-04,329.0,329.0,43.47,1196.0,N,NORD,49.67,EP PRODUZIONE SPA
2241632,OFF,12,2017-11-04,9.1,9.1,0.0,581.0,N,NORD,49.67,Bilateralista
2241656,OFF,12,2017-11-04,10.2,10.2,20.0,1001.0,N,NORD,49.67,EN.E.R. TRADING S.p.A.
2241680,OFF,12,2017-11-04,40.0,40.0,0.0,591.0,N,NORD,49.67,Bilateralista
2241714,OFF,12,2017-11-04,0.239,0.239,0.0,521.0,N,CSUD,49.67,AXPO ITALIA SPA
2241750,OFF,12,2017-11-04,246.8,246.8,0.0,688.0,N,NORD,49.67,IREN ENERGIA SPA
2241751,OFF,12,2017-11-04,60.8,60.8,0.0,723.0,N,NORD,49.67,Bilateralista
2241787,OFF,12,2017-11-04,6.56,6.56,0.0,150.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2241811,OFF,12,2017-11-04,0.8759999999999999,0.8759999999999999,0.0,338.0,N,NORD,49.67,Bilateralista
2241850,OFF,12,2017-11-04,20.0,20.0,43.77,1198.0,N,CSUD,49.67,ENEL PRODUZIONE S.P.A.
2241851,OFF,12,2017-11-04,200.0,200.0,0.0,718.0,N,CSUD,49.67,Bilateralista
2241852,OFF,12,2017-11-04,150.0,150.0,43.77,1199.0,N,CSUD,49.67,Bilateralista
2241911,OFF,12,2017-11-04,250.0,250.0,44.14,1202.0,N,CSUD,49.67,ENEL PRODUZIONE S.P.A.
2241912,OFF,12,2017-11-04,200.0,200.0,0.0,719.0,N,CSUD,49.67,Bilateralista
2241913,OFF,12,2017-11-04,150.0,150.0,44.14,1203.0,N,CSUD,49.67,Bilateralista
2241991,OFF,12,2017-11-04,131.434,131.434,44.55,1213.0,N,NORD,49.67,EDISON TRADING S.P.A.
2241992,OFF,12,2017-11-04,131.434,131.434,44.56,1214.0,N,NORD,49.67,EDISON TRADING S.P.A.
2241993,OFF,12,2017-11-04,131.434,131.434,44.57,1215.0,N,NORD,49.67,EDISON TRADING S.P.A.
2241994,OFF,12,2017-11-04,360.0,360.0,0.0,716.0,N,NORD,49.67,Bilateralista
2242051,OFF,12,2017-11-04,10.6,10.6,0.0,151.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2242075,OFF,12,2017-11-04,21.1,21.1,0.0,152.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2242093,OFF,12,2017-11-04,9.5,9.5,10.0,926.0,N,FOGN,49.67,EDISON TRADING S.P.A.
2242110,OFF,12,2017-11-04,1.17,1.17,0.0,462.0,N,SUD,49.67,DUFENERGY TRADING SA
2242133,OFF,12,2017-11-04,2.937,2.937,0.0,213.0,N,BRNN,49.67,GSE SPA
2242150,OFF,12,2017-11-04,10.814,10.814,0.0,153.0,N,CSUD,49.67,ENEL PRODUZIONE S.P.A.
2242190,OFF,12,2017-11-04,25.0,25.0,0.0,693.0,N,CSUD,49.67,TERMICA COLLEFERRO SPA
2242191,OFF,12,2017-11-04,5.0,5.0,20.0,1015.0,N,CSUD,49.67,TERMICA COLLEFERRO SPA
2242234,OFF,12,2017-11-04,3.0,3.0,0.0,533.0,N,SUD,49.67,GSE SPA
2242258,OFF,12,2017-11-04,83.5,83.5,0.0,529.0,N,CSUD,49.67,GSE SPA
2242282,OFF,12,2017-11-04,5.511,5.511,0.0,597.0,N,NORD,49.67,DUFENERGY TRADING SA
2242308,OFF,12,2017-11-04,9.6,9.6,0.0,536.0,N,CNOR,49.67,ACEA ENERGIA SPA
2242332,OFF,12,2017-11-04,0.008,0.008,0.0,522.0,N,SUD,49.67,AXPO ITALIA SPA
2242348,OFF,12,2017-11-04,0.01,0.01,0.0,214.0,N,SUD,49.67,GSE SPA
2242365,OFF,12,2017-11-04,1.135,1.135,0.0,154.0,N,SICI,49.67,ENEL PRODUZIONE S.P.A.
2242389,OFF,12,2017-11-04,5.436,5.436,0.0,155.0,N,SICI,49.67,ENEL PRODUZIONE S.P.A.
2242413,OFF,12,2017-11-04,9.5,9.5,0.0,726.0,N,SUD,49.67,Bilateralista
2242452,OFF,12,2017-11-04,0.012,0.012,0.0,269.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242453,OFF,12,2017-11-04,0.403,0.403,32.1,1106.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242454,OFF,12,2017-11-04,1.793,1.793,42.1,1181.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242495,OFF,12,2017-11-04,5.955,5.955,12.0,947.0,N,SARD,49.67,ENOI S.P.A.
2242496,OFF,12,2017-11-04,5.955,5.955,20.25,1032.0,N,SARD,49.67,ENOI S.P.A.
2242497,OFF,12,2017-11-04,15.0,12.39,30.25,1076.0,Y,SARD,49.67,ENOI S.P.A.
2242545,OFF,12,2017-11-04,0.013,0.013,0.0,270.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242546,OFF,12,2017-11-04,0.565,0.565,32.1,1107.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242547,OFF,12,2017-11-04,2.511,2.511,42.1,1182.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2242585,OFF,12,2017-11-04,1.146,1.146,0.0,156.0,N,SARD,49.67,ENEL PRODUZIONE S.P.A.
2242609,OFF,12,2017-11-04,8.538,8.538,0.0,157.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2242633,OFF,12,2017-11-04,1.2,1.2,0.0,347.0,N,CSUD,49.67,Bilateralista
2242657,OFF,12,2017-11-04,0.031,0.031,0.0,415.0,N,SUD,49.67,DUFENERGY TRADING SA
2242681,OFF,12,2017-11-04,0.022,0.022,0.0,418.0,N,SUD,49.67,DUFENERGY TRADING SA
2242705,OFF,12,2017-11-04,4.64,4.64,0.0,707.0,N,CNOR,49.67,YOUTRADE S.P.A.
